name,category,rating,phone,website,address
"Abid Plumbing shop - Plumber Service in Karachi","Plumber","4.6","0313 2656599","","Block 8 Gulshan-e-Iqbal, Karachi, 75300"
"Usman plumber works","Plumber","4.8","0301 7422571","http://www.alltechmart.com/","near Kamran chowrangi, Block 3 Gulistan-e-Johar, Karachi, 74000"
"Bahu Plumbers","Plumber","5.0","0329 0729754","https://bahuplumbers.org/",""
"Universal Plumbing Services","Plumber","4.8","0311 8899656","","Shop No, 3, Sector 20 Sector 22 Korangi Industrial Area, Karachi, 74900"
"GM Plumbing","Construction company","4.5","0334 2466555","","Harmain Towers, Shop # G-9, Jauhar More, Block 19 Gulistan-e-Johar, Karachi, 75290"
"Plumber service","Plumber","4.6","0308 2569183","https://g.co/kgs/Da6ozh9","shop #5, 1c 29th St, DHA Phase 5 Tauheed Commercial Area Defence V Defence Housing Authority, Karachi, 75500"
